scenario,H_malicious_hops,amplification,mapping,gamma_m_s,margin_m,theta_star_s,benign_ceiling_s,window_nonempty,certified_at_paper_theta_0.25,certified_for_all_theta
2,2,unamplified_A1,empirical_ekf,1.365,10.0,3.663,0.178,1,1,0
2,2,unamplified_A1,empirical_ekf,1.365,20.0,7.326,0.178,1,1,1
2,2,unamplified_A1,empirical_campaign_sup,1.625,2.0,0.6154,0.178,1,1,0
2,2,unamplified_A1,empirical_campaign_sup,1.625,5.0,1.5385,0.178,1,1,0
2,2,unamplified_A1,empirical_campaign_sup,1.625,10.0,3.0769,0.178,1,1,0
2,2,unamplified_A1,empirical_campaign_sup,1.625,20.0,6.1538,0.178,1,1,1
3,2,gronwall_L1.181_T1,kinematic_v15,15.0,2.0,0.0205,0.178,0,0,0
3,2,gronwall_L1.181_T1,kinematic_v15,15.0,5.0,0.0512,0.178,0,0,0
3,2,gronwall_L1.181_T1,kinematic_v15,15.0,10.0,0.1023,0.178,0,0,0
3,2,gronwall_L1.181_T1,kinematic_v15,15.0,20.0,0.2046,0.178,1,0,0
3,2,gronwall_L1.181_T1,empirical_receiver,1.195,2.0,0.2569,0.178,1,1,0
3,2,gronwall_L1.181_T1,empirical_receiver,1.195,5.0,0.6422,0.178,1,1,0
3,2,gronwall_L1.181_T1,empirical_receiver,1.195,10.0,1.2844,0.178,1,1,0
3,2,gronwall_L1.181_T1,empirical_receiver,1.195,20.0,2.5688,0.178,1,1,0
3,2,gronwall_L1.181_T1,empirical_ekf,1.365,2.0,0.2249,0.178,1,0,0
3,2,gronwall_L1.181_T1,empirical_ekf,1.365,5.0,0.5622,0.178,1,1,0
3,2,gronwall_L1.181_T1,empirical_ekf,1.365,10.0,1.1244,0.178,1,1,0
3,2,gronwall_L1.181_T1,empirical_ekf,1.365,20.0,2.2489,0.178,1,1,0
3,2,gronwall_L1.181_T1,empirical_campaign_sup,1.625,2.0,0.1889,0.178,1,0,0
3,2,gronwall_L1.181_T1,empirical_campaign_sup,1.625,5.0,0.4723,0.178,1,1,0
3,2,gronwall_L1.181_T1,empirical_campaign_sup,1.625,10.0,0.9445,0.178,1,1,0
3,2,gronwall_L1.181_T1,empirical_campaign_sup,1.625,20.0,1.8891,0.178,1,1,0
3,2,unamplified_A1,kinematic_v15,15.0,2.0,0.0667,0.178,0,0,0
3,2,unamplified_A1,kinematic_v15,15.0,5.0,0.1667,0.178,0,0,0
3,2,unamplified_A1,kinematic_v15,15.0,10.0,0.3333,0.178,1,1,0
3,2,unamplified_A1,kinematic_v15,15.0,20.0,0.6667,0.178,1,1,0
3,2,unamplified_A1,empirical_receiver,1.195,2.0,0.8368,0.178,1,1,0
3,2,unamplified_A1,empirical_receiver,1.195,5.0,2.0921,0.178,1,1,0
3,2,unamplified_A1,empirical_receiver,1.195,10.0,4.1841,0.178,1,1,0
3,2,unamplified_A1,empirical_receiver,1.195,20.0,8.3682,0.178,1,1,1
3,2,unamplified_A1,empirical_ekf,1.365,2.0,0.7326,0.178,1,1,0
3,2,unamplified_A1,empirical_ekf,1.365,5.0,1.8315,0.178,1,1,0
3,2,unamplified_A1,empirical_ekf,1.365,10.0,3.663,0.178,1,1,0
3,2,unamplified_A1,empirical_ekf,1.365,20.0,7.326,0.178,1,1,1
3,2,unamplified_A1,empirical_campaign_sup,1.625,2.0,0.6154,0.178,1,1,0
3,2,unamplified_A1,empirical_campaign_sup,1.625,5.0,1.5385,0.178,1,1,0
3,2,unamplified_A1,empirical_campaign_sup,1.625,10.0,3.0769,0.178,1,1,0
3,2,unamplified_A1,empirical_campaign_sup,1.625,20.0,6.1538,0.178,1,1,1
