theta_s,scenario,H_malicious_hops,mapping,gamma_m_s,delta_evade_worst_s,delta_pos_m,tube_m,amplification,certified_floor
6.5,1,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
6.5,1,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
6.5,1,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
6.5,1,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
6.5,1,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
6.5,2,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
6.5,2,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
6.5,2,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
6.5,2,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
6.5,2,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
6.5,2,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
6.5,3,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
6.5,3,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
6.5,3,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
6.5,3,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
6.5,3,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
6.5,3,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
7.0,1,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
7.0,1,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
7.0,1,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
7.0,1,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
7.0,1,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
7.0,1,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
7.0,2,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
7.0,2,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
7.0,2,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
7.0,2,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
7.0,2,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
7.0,2,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
7.0,3,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
7.0,3,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
7.0,3,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
7.0,3,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
7.0,3,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
7.0,3,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
8.0,1,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
8.0,1,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
8.0,1,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
8.0,1,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
